l_vel X,l_vel Y,l_vel Z,t
-0.16268305480480194,0.0009470952791161835,-0.05498955026268959,272
-0.1277029812335968,-0.011664727702736855,-0.08110909163951874,273
-0.09847721457481384,-0.02314043790102005,-0.13307584822177887,274
-0.06426644325256348,-0.03538982570171356,-0.17141595482826233,275
-0.029431656002998352,-0.04746164008975029,-0.20989800989627838,276
0.002539820736274123,-0.05886552855372429,-0.26079487800598145,277
0.043763499706983566,-0.07025301456451416,-0.28311920166015625,278
0.08277309685945511,-0.08023736625909805,-0.31210702657699585,279
0.12019690126180649,-0.09031584858894348,-0.3449409604072571,280
0.1628022938966751,-0.099995918571949,-0.3578052520751953,281
0.2026372253894806,-0.10787752270698547,-0.37760400772094727,282
0.23946696519851685,-0.11525730788707733,-0.40462756156921387,283
0.28473055362701416,-0.12200763076543808,-0.39834147691726685,284
0.3302748203277588,-0.12673580646514893,-0.3812241852283478,285
0.3669271767139435,-0.1303558498620987,-0.3905199468135834,286
0.40247929096221924,-0.13425372540950775,-0.3947516679763794,287
0.44583860039711,-0.13575324416160583,-0.35431036353111267,288
0.4780488908290863,-0.13598869740962982,-0.34333178400993347,289
0.5003350973129272,-0.13750405609607697,-0.3643786609172821,290
0.5198208689689636,-0.1393311321735382,-0.3863597810268402,291
0.5417221188545227,-0.14019256830215454,-0.3790822923183441,292
0.5622262358665466,-0.14008095860481262,-0.3596702218055725,293
0.57802414894104,-0.1394052654504776,-0.34625324606895447,294
0.5935340523719788,-0.13753749430179596,-0.31313368678092957,295
0.6027827262878418,-0.13401459157466888,-0.29805508255958557,296
0.6064857244491577,-0.13229237496852875,-0.31250330805778503,297
0.6093945503234863,-0.12987495958805084,-0.29866644740104675,298
0.6118212938308716,-0.12402544170618057,-0.2590707242488861,299
0.6074792742729187,-0.11989982426166534,-0.26075872778892517,300
0.6010405421257019,-0.11552413552999496,-0.25776663422584534,301
0.5927278995513916,-0.1097358986735344,-0.2410593330860138,302
0.5816189646720886,-0.10287021100521088,-0.2173873484134674,303
0.5677455067634583,-0.09696188569068909,-0.22312574088573456,304
0.5516709685325623,-0.09020717442035675,-0.2135738581418991,305
0.5328313708305359,-0.08266682177782059,-0.19529972970485687,306
0.5110054016113281,-0.07268102467060089,-0.15695849061012268,307
0.4880937337875366,-0.06463710963726044,-0.1569594144821167,308
0.4623863399028778,-0.05598408356308937,-0.12680697441101074,309
0.43425026535987854,-0.04495241865515709,-0.08638066798448563,310
0.40543678402900696,-0.033660855144262314,-0.05306391417980194,311
0.37561270594596863,-0.024113524705171585,-0.042774781584739685,312
0.3428176939487457,-0.01167202740907669,0.006765045691281557,313
0.3101961016654968,0.0018454776145517826,0.03972655162215233,314
0.2792070209980011,0.013191329315304756,0.04781597480177879,315
0.24974122643470764,0.023730024695396423,0.05205650255084038,316
0.21872374415397644,0.035321708768606186,0.06859349459409714,317
0.18652549386024475,0.051005203276872635,0.12763725221157074,318
0.15636345744132996,0.06403087079524994,0.14317604899406433,319
0.13110016286373138,0.07269348204135895,0.12130171060562134,320
0.10676585882902145,0.08122234791517258,0.109648197889328,321
0.08095128834247589,0.09240607172250748,0.14574110507965088,322
0.057464808225631714,0.10185632854700089,0.14807450771331787,323
0.036457523703575134,0.11000530421733856,0.14958350360393524,324
0.01604827493429184,0.1161724254488945,0.14104172587394714,325
-0.003979625180363655,0.12346706539392471,0.16003791987895966,326
-0.02212337777018547,0.12927553057670593,0.16993197798728943,327
-0.03960557281970978,0.1353318691253662,0.18336276710033417,328
-0.05558406934142113,0.14095628261566162,0.19532065093517303,329
-0.07056768983602524,0.14594899117946625,0.20347101986408234,330
-0.08433990925550461,0.14894111454486847,0.18941061198711395,331
-0.09668612480163574,0.15127234160900116,0.17503231763839722,332
-0.10848681628704071,0.15254215896129608,0.16480612754821777,333
-0.11848223209381104,0.1538688987493515,0.1654219925403595,334
-0.1276421844959259,0.15293800830841064,0.1320154070854187,335
-0.13480278849601746,0.1511804312467575,0.1179976612329483,336
-0.1410025656223297,0.14945921301841736,0.11597228050231934,337
-0.1421934813261032,0.14747995138168335,0.13414935767650604,338
